;meta[language=zh]
; id      |key(hex)|key(str)| text
2117400062|e76355d5||>= 大師（藍色）
2117400063|17fac3da||>= 魔法（黃色）
2117400064|18431da0||>= 遺物（橙色）
2117400065|1e4be113||選擇價值<font size="16">（>= 該值即拾取）</font>
2117400066|34027551||武器
2117400067|00b470c6||原料<font size="16">（工藝/煉金/染料）</font>
2117400068|d7b71abd||廢品<font size="16">（所有"廢品"分類的物品）</font>
2117400069|508983e5||未讀閱讀材料<font size="16">（書、筆記、地圖等）</font>
2117400070|fc021681||已讀閱讀材料<font size="16">（書、筆記、地圖等）</font>
2117400071|08528bd6||限制書籍最大庫存數量<font size="16">（0 = 關閉）</font>
2117400072|c652af13||金幣（克朗/弗羅林/奧倫）
2117400073|d97557fd||金幣數量<font size="16">（>= 該值即拾取）</font>
2117400074|828c4a53||食物
2117400075|eec8efaf||升級物品<font size="16">（符文/符記/突變誘發物）</font>
2117400076|bb40c070||馬具<font size="16">（眼罩/馬鞍/馬鞍袋）</font>
2117400077|774b1a65||戰利品
2117400078|85c2540d||工具<font size="16">（修理工具）</font>
2117400079|c9a51163||其他物品<font size="16">（"任務物品/其他"分類的物品 - 鑰匙/可讀物品除外）</font>
2117400080|8e978779||配方<font size="16">（藍圖/配方）</font>
2117400081|26a0a261||面具
2117400082|dd77ed32||鑰匙
2117400083|faf2a504||範圍拾取
2117400084|1301d4e0||範圍拾取預設
2117400085|337764f1||輕度模式
2117400086|3f38886c||普通模式
2117400087|33f7c787||重度模式
2117400088|2066da96||按住範圍拾取鍵時忽略篩選器<font size="16">（拾取全部物品）</font>
2117400089|78afa928||真自動拾取
2117400090|c9b25204||真自動拾取預設
2117400091|deb8681a||啓用真自動拾取模式
2117400092|07a39771||在游戲加載時開始搜尋
2117400093|e65d0bf4||載入游戲時的彈出視窗通知
2117400094|fcc55054||全部顯示
2117400095|8d1d9eb7||隱藏“停用”彈出視窗
2117400096|7acd33a6||隱藏“啓用”彈出視窗
2117400097|9bdef53c||全部隱藏
2117400098|a75f7a5e||站立不動時停止搜刮<font size="16">（騎馬/駕船/游泳除外）</font>
2117400099|e5217b06||真自動拾取最小彈出視窗通知間隔（秒）
2117400100|84a07913||搜尋頻率（秒）
2117400101|54895836||通知
2117400102|7a59d8da||通知預設
2117400103|1aee0bc3||<font color="#FF8F00">*</font>原版風格
2117400104|8372a910||<font color="#FF8F00">*</font>模組預設
2117400105|143ff948||<font color="#FF8F00">*</font>透明背景
2117400106|465b11b9||<font color="#FF8F00">*</font>帶有邊框
2117400107|48eff63b||啓用拾取通知
2117400108|87234bd7||預設彈出視窗使用黑色背景
2117400109|2c70b6a5||<font color="#FF8F00">*</font>拾取彈出視窗使用黑色背景
2117400110|99e6aac0||<font color="#FF8F00">*</font>拾取彈出視窗背景透明度<font size="16">（0 = 透明）</font>
2117400111|1f926974||<font color="#FF8F00">*</font>新增字型輪廓
2117400112|7c5926f2||無輪廓
2117400113|ca8259d9||淺輪廓
2117400114|925aea34||深輪廓
2117400115|7c58f32c||陰影輪廓
2117400116|2b2749f7||通知字型大小
2117400117|f748ea0f||拾取彈出視窗水平位置（X 軸）
2117400118|f748ea10||拾取彈出視窗垂直位置（Y 軸）
2117400119|7d6ae978||拾取彈出視窗的寬度
2117400120|9adc6dc6||書籍彈出視窗水平位置（X 軸）
2117400121|9adc6dc7||書籍彈出視窗垂直位置（Y 軸）
2117400122|ad7e76eb||<font color="#FF8F00">*</font>標題/後綴（已讀、已知）的顏色
2117400123|32fb5d45||<font color="#FFFFFF">顏色 1</font>
2117400124|2c704bc4||<font color="#978181">顏色 2</font>
2117400125|61992d25||<font color="#FFF8D1">顏色 3</font>
2117400126|2c704bd1||<font color="#D5FFF2">顏色 4</font>
2117400127|32fb5d52||<font color="#95FFDB">顏色 5</font>
2117400128|2c704d57||<font color="#FFCDBD">顏色 6</font>
2117400129|61995df2||<font color="#FBD9FB">顏色 7</font>
2117400130|d19260b7||<font color="#BBE5FF">顏色 8</font>
2117400131|2c704bd3||<font color="#B0B000">顏色 9</font>
2117400132|32fb5d54||<font color="#FFFF00">顏色 10</font>
2117400133|2c704d95||<font color="#FF9F24">顏色 11</font>
2117400134|61996574||<font color="#FF4500">顏色 12</font>
2117400135|d1934975||<font color="#FF008E">顏色 13</font>
2117400136|61996581||<font color="#FEA9FE">顏色 14</font>
2117400137|2c704da2||<font color="#7E61FF">顏色 15</font>
2117400138|61996707||<font color="#5F29FE">顏色 16</font>
2117400139|d1937a42||<font color="#C800FF">顏色 17</font>
2117400140|60dbce67||<font color="#00FFE7">顏色 18</font>
2117400141|61996583||<font color="#64F387">顏色 19</font>
2117400142|2c704da4||<font color="#00FF0C">顏色 20</font>
2117400143|61996745||<font color="#17CAFF">顏色 21</font>
2117400144|d19381c4||<font color="#4682B4">顏色 22</font>
2117400145|60dcb725||<font color="#006D6C">顏色 23</font>
2117400146|d19381d1||<font color="#A1A1A1">顏色 24</font>
2117400147|61996752||<font color="#666666">顏色 25</font>
2117400148|d1938357||<font color="#666666">黑色<font size="16">（推薦與無輪廓同時使用）</font></font>
2117400149|8447e357||<font color="#FF8F00">*</font>普通品質物品顏色（主要顏色）
2117400150|07ee09b0||<font color="#3661dc">顏色 1（原版）</font>
2117400151|f5d32cb9||<font color="#367CDC">顏色 2</font>
2117400152|c4926ad0||<font color="#00BFFF">顏色 3</font>
2117400153|f373e23c||<font color="#909000">顏色 1（原版）</font>
2117400154|7b0865ad||<font color="#C4C92D">顏色 2</font>
2117400155|e604505c||<font color="#D8F135">顏色 3</font>
2117400156|d6faeab6||<font color="#934913">顏色 1（原版）</font>
2117400157|08626c73||<font color="#B25817">顏色 2</font>
2117400158|03eb2256||<font color="#FF7510">顏色 3</font>
2117400159|4d0c0b08||<font color="#197319">顏色 1（原版）</font>
2117400160|54755661||<font color="#019A01">顏色 2</font>
2117400161|3a357628||<font color="#00AA00">顏色 3</font>
2117400162|3fca9540||<font color="#FF8F00">*</font>大師品質物品顏色（藍色）
2117400163|c09e4af7||<font color="#FF8F00">*</font>魔法品質物品顏色（黃色）
2117400164|de851cf1||<font color="#FF8F00">*</font>遺物品質物品顏色（橙色）
2117400165|6a3f9e10||<font color="#FF8F00">*</font>獵魔人品質物品顏色（綠色）
2117400166|4adc5da0||顯示通知標題
2117400167|10aaca91||顯示物品描述
2117400168|6e41a048||顯示物品編號
2117400169|dae3379f||單次彈出視窗可顯示的專案數
2117400170|491e308b||顯示物品數量
2117400171|a195a022||啓用拾取音效
2117400172|695af776||使用物品顏色
2117400173|04f85d5b||顯示物品圖像
2117400174|479ce714||戰鬥結束前隱藏通知
2117400175|bbdb7331||動作紀錄中顯示拾取通知
2117400176|e9f71b74||顯示時間（秒）
2117400177|9dc27063||每個物品的額外展示時間（毫秒）
2117400178|d36a473b||快速鍵
2117400179|a2bcb9df||快速鍵預設
2117400180|09a463c5||停用半徑切換快速鍵:
2117400181|cb3a1638||範圍拾取
2117400182|47b82bfc||真自動拾取
2117400183|c4423ecb||全部
2117400184|706379e6||範圍拾取半徑切換增量
2117400185|65f5de2a||真自動拾取半徑切換增量
2117400186|d5d8fe45||*使用半徑切換鍵快捷設定半徑（選項如下）
2117400187|2e1d3016||範圍拾取半徑（1）
2117400188|2e1d43fc||範圍拾取半徑（2）
2117400189|1bd57b4e||範圍拾取半徑（3）
2117400190|3961014b||真自動拾取半徑（1）
2117400191|39611531||真自動拾取半徑（2）
2117400192|6569d343||真自動拾取半徑（3）
2117400193|f853ddb9||靜默彈出視窗
2117400194|10630d95||靜默彈出視窗預設
2117400195|b9e3815a||為以下選項啓用使用互動鍵（'E'）時的彈出視窗
2117400196|b5696c8f||僅收集草藥時
2117400197|f7452158||隱藏拾取彈出視窗: 草藥
2117400198|fd40b477||隱藏拾取彈出視窗: 原料（按選擇品質）
2117400199|4062dcec||隱藏白色
2117400200|d6397ad1||隱藏藍色以下
2117400201|01bad1eb||隱藏黃色以下
2117400202|8ff30d25||隱藏橙色以下
2117400203|f749ab01||隱藏拾取彈出視窗: 已讀的閱讀材料
2117400204|f7445dc9||隱藏拾取彈出視窗: 食物
2117400205|f74645b3||隱藏拾取彈出視窗: 廢品（貝殼除外）
2117400206|d73ebe9b||廢品價值<font size="16">（>= 該值顯示 / 1 全部隱藏 / 預設 150）</font>
2117400207|eab393fc||隱藏拾取彈出視窗: 金幣<font size="16">（克朗/弗羅林/奧倫）</font>
2117400208|71cd130e||金幣數量<font size="16">（>= 該值顯示 / 1 全部隱藏）</font>
2117400209|8feda66f||隱藏拾取彈出視窗: 盔甲 （按選擇品質）
2117400210|3c920d05||隱藏拾取彈出視窗: 武器 （按選擇品質）
2117400211|4d5f8b0c||模組
2117400212|a3ce6192||自動拾取: 已加載預設設定
2117400213|4881c3af||<font size="22">自動拾取模組錯誤: 模組菜單缺失或過期!<br/><br/><font size="20">請檢查下列檔案是否存在或過期。</font><br/><font size="18">...\The Witcher 3\bin\config\r4game\user_config_matrix\pc\<br/>AHDAutoLootConfig.xml</font>
2117400214|4f50ca9f||自動拾取模組錯誤: 未設定字型大小!
2117400215|3369b943||<font color="#FF0000">警告</font>: 已自動拾取任務物品/受保護的容器！
2117400216|218aed4d||自動拾取彈出視窗目前位置...
2117400217|265299cc||已拾取:
2117400218|10f20fc0||在戰鬥中收穫:
2117400219|92cec70d||（已讀）
2117400220|e4e719ce||（已知）
2117400221|964b3e04||範圍拾取半徑
2117400222|9a4bcdc8||真自動拾取半徑
2117400223|2436ccc5||真自動拾取模式
2117400224|1f7974c4||篩選器
2117400225|288a7085||資訊
2117400226|0ad782d3||關閉狀態
2117400227|f2785c0a||啓用狀態
2117400228|9e8488b1||啓用篩選
2117400229|29baddc8||停用篩選（拾取全部物品）
2117400230|9bb93476||查看篩選器狀態<font size="16">（長按即可切換狀態）</font>
2117400231|18c94a3a||激活範圍自動拾取
2117400232|21dc9d36||開關真自動拾取模式
2117400233|063f5dff||範圍拾取: 目前半徑 / 半徑（2）
2117400234|93d3f783||真自動拾取: 目前半徑 / 半徑（2）
2117400235|685681ec||範圍拾取: 減小半徑 / 半徑（1）
2117400236|881c7d70||真自動拾取: 減小半徑 / 半徑（1）
2117400237|ad01afa4||範圍拾取: 增加半徑 / 半徑（3）
2117400238|f336da28||真自動拾取: 增加半徑 / 半徑（3）
2117400239|4e34aa7c||允許在戰鬥中使用
2117400240|e8ce2156||可拾取物品搜尋半徑
2117400241|bd741bb5||單次最多可拾取容器
2117400242|47d531e8||搜尋容器半徑
2117400243|50887290||搜尋草藥半徑
